OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ca30a635233592f9ac29683f71c6d0ee,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
ab4eddf288e2ca8dfc899efda0748ad6,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I_X,Dino-Group-I_XX,Dino-Group-I_XX_sp.
4bc3cedfe9d31c5d29d60965b4eada2e,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Spumellaria,Liosphaeroidea_X,Liosphaeroidea_XX,Liosphaeroidea_XX_sp.
080259743b3b56a8477470697b1ed94c,Eukaryota,Archaeplastida_Chlorophyta_Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
c6b1206e00a9bde92ead3fe17f515adc,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
b57045f6b7417b7d678efd1766bcdff6,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.
2c8ee5e245946cf53f8ca2c4cdaa6254,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.
87cbe9cb9c51a528183009ad2e21cf20,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
7ac593b6be2b7586ccaa75b20c4c0661,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
ffec38473aa5e9d9ddedf9cae91433a1,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-7,Dino-Group-I-Clade-7_X,Dino-Group-I-Clade-7_X_sp.
a72e388cfa560bd742b4c5fd899bbfbb,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Spumellaria,Excentroconchidae,Excentroconchidae_X,Excentroconchidae_X_sp.
ab432e2a169005bbf78350118049fda9,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.
5b010ab00d973079aadba19ebc0778a8,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
1be8d3dc0784929aa0d2909950426a95,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
a625900dde27c80029b8c3e5739d3176,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
9767a3cc9a6de74af8599d693374bd7c,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-IV_X,RAD-B_X_Group-IV_XX,RAD-B_X_Group-IV_XX_sp.
582178ab4d161ff68581486f36ac13fd,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.
94337b85e05b8aef20afd3b10c364408,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Diplonemida_DSPDII,Diplonemida_DSPDII_X,Diplonemida_DSPDII_X_sp.
27fc00d1046b82bd02c43eb213816992,Eukaryota,TSAR_Telonemia_Telonemia_X,Telonemia_XX,Telonemia_XXX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.
ad02ad8b82301ccdc25ace943a5f4bf5,Eukaryota,TSAR_Stramenopiles_Bigyra,Sagenista,Sagenista_X,MAST-4,MAST-4A,MAST-4A_sp.
c5ddcf497ef3dee1d59c4c2805365b15,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,,,
3af57424bd08ba8b21a117dd3a56cddf,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
19f7e7956ae678e222227a6362ea0973,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Spumellaria,Astrosphaeridae,Cladococcus,Cladococcus_scoparius
44de71ea6f21cdd6afa65ae05fd7c158,Eukaryota,Archaeplastida_Chlorophyta_Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Halosphaeraceae,Halosphaera,Halosphaera_sp.
31530d5258a708603266e4975885c293,Eukaryota,TSAR_Stramenopiles_Gyrista,Gyrista_X,Gyrista_XX,MAST-1,MAST-1C,MAST-1C_sp.
9b3659b40f6b0548038f43a5d085ce9d,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.
86797c4c3a37970f60f0f9c96cb8314d,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
b323456f4e8767922428208b36df8058,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
c4549dd5c5dcb10c3bc8cf22c2d23cf4,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.
7f3663193c4266a75f32810d2b18d58a,Eukaryota,TSAR_Stramenopiles_Bigyra,Sagenista,Labyrinthulomycetes,Labyrinthulaceae,Labyrinthulaceae_ANT10_3,Labyrinthulaceae_ANT10_3_sp.
f2ea8b6cd80e33df58e53f28d00eff9b,Eukaryota,Archaeplastida_Chlorophyta_Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
95ce1ac03a58b7cd7a9d5c0b31ec2b0f,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.
35d664e6b85008ea58652ae51fc1f079,Eukaryota,TSAR_Rhizaria_Radiolaria,Radiolaria_X,Radiolaria_XX,Radiolaria_XXX,Radiolaria_XXXX,Radiolaria_XXXX_sp.
8be2bd54f00b837729146e6fbd6e3f41,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.
a244383277cb9f9581f316fa14a5a909,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Nassellaria,Collosphaeridae,Collosphaera,Collosphaera_tuberosa
63e201b67927f771300feadab681a348,Eukaryota,TSAR_Stramenopiles_Gyrista,MOCH-5,MOCH-5_X,MOCH-5_XX,MOCH-5_XXX,MOCH-5_XXX_sp.
decab3c2d831dac17d4fd15a9a257015,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
3b0c820de0e1626fffa2d90efe7f6c85,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-Ib,RAD-B_X_Group-Ib_X,RAD-B_X_Group-Ib_X_sp.
5621757241a7948bdf7bcae30e11b9af,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,,,
11a97d9292df599c8de5de9c0c464562,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I_X,Dino-Group-I_XX,Dino-Group-I_XX_sp.
f9491343a563ad1237f564172ad5a7ac,Eukaryota,Archaeplastida_Picozoa_Picozoa_subdivision_1,Picozoa_subdivision_1A,Picozoa_subdivision_1A_X,Picozoa_subdivision_1A_XX,Picozoa_subdivision_1A_XXX,Picozoa_subdivision_1A_XXX_sp.
3be4e550867837425915b44d2e2f4400,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-IV_X,RAD-B_X_Group-IV_XX,RAD-B_X_Group-IV_XX_sp.
9379bf757455faa93a1290d49dfd492c,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
39a1ab91f0140026b0620f092aa048c7,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,,,,
6d5d3a6542a1b8f1465bd7db28c14d0c,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,,,,
ad0ff0c494946b8fd65f14411e05f72a,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.
29b41ee8c363c09948e6e9dc3f6244ab,Eukaryota,Archaeplastida_Picozoa_Picozoa_subdivision_1,Picomonadea,Picomonadida,Picomonadidae,Picomonas,Picomonas_sp.
20913cb17c513a96f1a4206e338f15b1,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.
5bb17bd0838a6a66a373525a7131a950,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.
629676122815f442b7ee5cb4fb12abcd,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.
196a3a5a5371a83058ce2fcc77c12eec,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
17d1c92fd1c178098d4422ca2472fe83,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
7e065f6e4bd14b1b9f176fc840414fd6,Eukaryota,TSAR_Stramenopiles_Gyrista,Mediophyceae,,,,
4c32c29a3417d78adffd42c287680a50,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-7,Dino-Group-I-Clade-7_X,Dino-Group-I-Clade-7_X_sp.
89984d19f1a6b75b6c18010d868367f4,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
be43a8539d401a3e3f30b1fa8aec76dd,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Spumellaria,Spumellaria_1,Spumellaria_1_X,Spumellaria_1_X_sp.
82214f5fae739d2a215de3f4a7c2a0a0,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Spumellaria,Astrosphaeridae,,
dc5e71752104dd9ebae3c1793c0e8c79,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.
55afa17a0d4a04057d785d052d467a4e,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
5199e9fd7819a66676b944b1d650d585,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
34f0dc6706caefd2fe5672d687f287d9,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-V,Dino-Group-V_X,Dino-Group-V_XX,Dino-Group-V_XX_sp.
21e573ce132b072760999e8dbfd8cbb2,Eukaryota,TSAR_Rhizaria_Radiolaria,Polycystinea,Nassellaria,Sphaerozoidae,,
3ef1836830487b14749d8b96ab4eec99,Eukaryota,Haptista_Haptophyta_Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_cordata
675aaf5a539742908a809f130a1ffb4f,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
775eb52f46960431224915bc0eb1b81f,Eukaryota,TSAR_Rhizaria_Radiolaria,Acantharea,Acantharea_1,Acantharea_1_X,Acantharea_1_XX,Acantharea_1_XX_sp.
5d688455f1c8e92498a197d2ef82eb7a,Eukaryota,TSAR_Stramenopiles_Bigyra,Opalozoa,Nanomonadea,MAST-3,MAST-3B,MAST-3B_sp.
f83b49b1a3d50023a533ca6bc68904be,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-IVa,RAD-B_X_Group-IVa_X,RAD-B_X_Group-IVa_X_sp.
10b0fdf0846dd97ae01f3d102c8b5fd1,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
2c8d2a80d240aba98686096e9dc3ebe6,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
76f0c0be5a4d8c59fbf1da2340c5af0d,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
bed4001fdfda95d9a44613b20bfeb9bd,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Peridiniales,Thoracosphaeraceae,Scrippsiella,
a3133278463562e0c8be3044aa7a25fa,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
7953433c8ac51267152d39b1d9da857d,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.
6a7af3c8d2b48e1405b793be0d4a496b,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.
89e0bd08d824ba2db5d621a90a297707,Eukaryota,Excavata_Discoba_Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
db31f3272c310e26f4c64f1e1e644bd2,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.
78f1d8a1287feefa12adacaa1c200d84,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,Dinophyceae_XXX_sp.
8b192843f798a1a10fae67a2341e363f,Eukaryota,TSAR_Alveolata_Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,,
55c54f0656fb8c15f4222c6c5907ccdf,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-7,Dino-Group-I-Clade-7_X,Dino-Group-I-Clade-7_X_sp.
357bcf455ea573beaf8bc5abe370b44f,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,Dino-Group-III_XX_sp.
605f513cafaf4948ea5e2752115a8db7,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
02b70275074f7e966dff1d1b560ea3a1,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
91e849e4c6d41147c7c2fd1c04c6b804,Eukaryota,TSAR_Stramenopiles_Bigyra,Opalozoa,Nanomonadea,MAST-3,MAST-3A,MAST-3A_sp.
57fa942302d992aadcaa64efed8d025e,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.
6119306fb13384ebc947ec51778828b6,Eukaryota,TSAR_Rhizaria_Radiolaria,RAD-B,RAD-B_X,Taxopodida,Sticholonche,Sticholonche_sp.
7968d8120d5a426dbec1cfdb4fd4c5b6,Eukaryota,TSAR_Alveolata_Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.
